#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 276000      3.06e+01      5.55e-01      2.70e-01      7.94e-01    3.9e-04
 278000      3.33e+01      7.82e-01      2.27e-01      1.91e+00    3.9e-04
 280000      1.10e+02      7.47e-01      1.07e+00      1.53e+00    3.8e-04
 282000      1.87e+01      3.90e-02      1.59e-01      7.73e-01    3.8e-04
 284000      9.74e+00      1.26e-01      8.09e-02      3.01e-01    3.8e-04
 286000      2.57e+01      4.98e-01      1.83e-01      1.42e+00    3.8e-04
 288000      2.16e+01      3.54e-01      2.12e-01      2.79e-01    3.7e-04
 290000      2.32e+01      2.90e-01      2.21e-01      5.60e-01    3.7e-04
 292000      1.20e+02      7.44e-02      1.20e+00      5.94e-01    3.7e-04
 294000      1.35e+01      3.02e-01      1.26e-01      3.70e-01    3.7e-04
 296000      1.04e+01      2.53e-02      8.77e-02      3.13e-01    3.6e-04
 298000      3.37e+01      5.40e-01      2.45e-01      1.28e+00    3.6e-04
 300000      1.17e+01      3.57e-01      1.13e-01      2.03e-01    3.6e-04
 302000      3.98e+01      3.27e-01      3.98e-01      4.55e-02    3.6e-04
 304000      5.30e+01      8.19e-01      5.12e-01      1.04e+00    3.5e-04
 306000      2.01e+01      1.52e-02      1.97e-01      2.23e-01    3.5e-04
 308000      1.06e+02      1.20e+00      8.47e-01      5.08e+00    3.5e-04
 310000      5.19e+01      6.87e-01      5.14e-01      5.01e-01    3.5e-04
 312000      2.47e+01      7.45e-02      2.42e-01      2.67e-01    3.4e-04
 314000      3.40e+01      6.26e-01      2.01e-01      1.52e+00    3.4e-04
 316000      1.68e+01      1.50e-01      1.67e-01      1.63e-01    3.4e-04
 318000      1.99e+01      5.28e-03      1.89e-01      5.10e-01    3.4e-04
 320000      2.28e+01      3.93e-02      2.25e-01      3.10e-01    3.3e-04
 322000      3.18e+01      2.96e-01      3.17e-01      2.58e-01    3.3e-04
 324000      2.52e+01      3.66e-01      2.17e-01      7.06e-01    3.3e-04
 326000      1.02e+01      4.22e-01      9.88e-02      6.83e-02    3.3e-04
 328000      2.09e+01      6.61e-02      2.06e-01      2.01e-01    3.3e-04
 330000      1.86e+01      1.27e-01      1.85e-01      1.02e-01    3.2e-04
 332000      1.43e+01      1.81e-01      1.38e-01      2.96e-01    3.2e-04
 334000      1.96e+01      3.88e-02      1.94e-01      1.38e-01    3.2e-04
 336000      1.93e+01      5.43e-02      1.86e-01      4.19e-01    3.2e-04
 338000      1.63e+02      9.49e-01      1.63e+00      2.43e-01    3.1e-04
 340000      1.64e+01      3.59e-02      1.33e-01      5.35e-01    3.1e-04
 342000      2.45e+01      3.05e-01      2.09e-01      7.03e-01    3.1e-04
 344000      4.92e+01      6.98e-01      4.87e-01      3.47e-01    3.1e-04
 346000      1.41e+01      3.27e-01      1.39e-01      8.77e-02    3.1e-04
 348000      1.26e+01      1.93e-01      1.02e-01      5.87e-01    3.0e-04
 350000      2.00e+01      3.75e-01      1.58e-01      6.72e-01    3.0e-04
 352000      4.33e+01      2.70e-01      3.91e-01      1.04e+00    3.0e-04
 354000      4.16e+01      2.38e-02      3.07e-01      1.54e+00    3.0e-04
 356000      2.13e+01      6.84e-02      2.12e-01      1.15e-01    3.0e-04
 358000      3.48e+01      2.46e-01      3.18e-01      7.73e-01    2.9e-04
 360000      3.36e+01      3.21e-01      3.34e-01      1.76e-01    2.9e-04
 362000      2.18e+01      1.09e-01      2.15e-01      2.85e-01    2.9e-04
 364000      8.29e+01      2.20e-01      8.23e-01      5.35e-01    2.9e-04
 366000      1.76e+01      1.10e-01      1.25e-01      7.02e-01    2.9e-04
 368000      7.89e+00      6.14e-01      4.51e-02      4.73e-01    2.8e-04
 370000      1.93e+01      5.50e-02      1.92e-01      1.66e-01    2.8e-04
 372000      2.15e+01      1.76e-01      2.11e-01      2.21e-01    2.8e-04
 374000      1.78e+01      1.46e-02      1.78e-01      1.31e-01    2.8e-04
 376000      3.81e+01      1.32e-01      3.79e-01      2.12e-01    2.8e-04
 378000      3.49e+01      2.76e-01      3.42e-01      3.72e-01    2.7e-04
 380000      8.51e+00      2.59e-01      7.92e-02      1.57e-01    2.7e-04
 382000      1.51e+01      3.44e-02      1.45e-01      3.24e-01    2.7e-04
 384000      3.88e+01      7.50e-02      3.81e-01      4.06e-01    2.7e-04
 386000      1.86e+01      1.26e-01      1.85e-01      3.16e-02    2.7e-04
 388000      1.02e+01      1.61e-01      9.42e-02      2.18e-01    2.7e-04
 390000      1.17e+01      7.91e-02      1.12e-01      1.83e-01    2.6e-04
 392000      1.71e+01      1.80e-01      1.70e-01      3.80e-02    2.6e-04
 394000      2.03e+01      2.24e-01      2.02e-01      1.44e-01    2.6e-04
 396000      2.38e+01      4.95e-02      2.32e-01      4.24e-01    2.6e-04
 398000      1.39e+01      1.24e-01      1.33e-01      2.07e-01    2.6e-04
 400000      5.32e+01      3.88e-01      5.15e-01      1.06e+00    2.5e-04
 402000      1.93e+01      4.16e-02      1.91e-01      2.57e-01    2.5e-04
 404000      2.81e+01      3.32e-01      2.00e-01      1.10e+00    2.5e-04
 406000      8.76e+00      9.54e-02      8.74e-02      1.32e-02    2.5e-04
 408000      1.79e+01      1.75e-01      1.32e-01      9.48e-01    2.5e-04
 410000      1.84e+01      1.06e-01      1.83e-01      1.19e-01    2.5e-04
 412000      1.20e+02      4.41e-01      1.19e+00      1.03e+00    2.4e-04
 414000      2.88e+01      6.32e-02      2.69e-01      5.84e-01    2.4e-04
 416000      2.06e+01      2.34e-01      2.04e-01      2.56e-01    2.4e-04
 418000      1.93e+01      9.19e-02      1.91e-01      1.96e-01    2.4e-04
 420000      9.21e+01      4.07e-01      9.00e-01      1.08e+00    2.4e-04
 422000      2.93e+01      5.34e-01      2.87e-01      2.78e-01    2.4e-04
 424000      3.15e+01      7.04e-02      3.14e-01      1.91e-01    2.3e-04
 426000      6.13e+01      2.65e-01      5.79e-01      1.12e+00    2.3e-04
 428000      3.59e+01      1.90e-02      3.56e-01      2.36e-01    2.3e-04
 430000      2.15e+01      1.71e-01      2.13e-01      1.26e-01    2.3e-04
 432000      2.59e+01      6.78e-01      2.39e-01      5.25e-01    2.3e-04
 434000      1.64e+01      3.83e-01      1.61e-01      1.21e-01    2.3e-04
 436000      1.67e+01      9.14e-02      1.65e-01      2.46e-01    2.3e-04
 438000      6.87e+01      1.56e+00      6.71e-01      6.55e-01    2.2e-04
 440000      7.20e+01      1.28e-01      6.96e-01      1.46e+00    2.2e-04
 442000      1.15e+01      1.13e-01      9.72e-02      3.39e-01    2.2e-04
 444000      1.50e+01      8.94e-02      1.46e-01      1.98e-01    2.2e-04
 446000      2.51e+01      7.84e-01      2.39e-01      3.46e-01    2.2e-04
 448000      1.39e+01      7.80e-02      1.36e-01      1.49e-01    2.2e-04
 450000      1.13e+01      6.97e-02      1.12e-01      5.57e-02    2.1e-04
 452000      2.21e+01      3.23e-01      2.13e-01      2.96e-01    2.1e-04
 454000      8.74e+00      1.18e-02      8.73e-02      2.61e-02    2.1e-04
 456000      6.05e+00      8.32e-02      5.93e-02      6.34e-02    2.1e-04
 458000      3.60e+01      6.35e-01      2.41e-01      1.48e+00    2.1e-04
 460000      1.41e+01      1.29e-01      1.41e-01      4.88e-02    2.1e-04
 462000      3.20e+01      1.06e-01      3.19e-01      1.46e-01    2.1e-04
 464000      2.33e+01      3.81e-01      2.31e-01      1.21e-01    2.0e-04
 466000      1.06e+01      2.24e-02      8.83e-02      3.30e-01    2.0e-04
 468000      3.98e+01      3.65e-01      2.43e-01      2.49e+00    2.0e-04
 470000      1.24e+01      3.71e-03      1.22e-01      1.68e-01    2.0e-04
 472000      1.38e+01      6.16e-02      1.31e-01      2.47e-01    2.0e-04
 474000      1.16e+01      8.58e-02      1.10e-01      2.91e-01    2.0e-04
 476000      1.52e+01      1.86e-02      1.50e-01      1.34e-01    2.0e-04
 478000      1.46e+01      1.36e-02      1.38e-01      2.77e-01    2.0e-04
 480000      4.65e+01      1.01e-01      4.62e-01      4.14e-01    1.9e-04
 482000      5.26e+01      6.20e-02      5.21e-01      4.11e-01    1.9e-04
 484000      1.18e+01      1.19e-01      1.13e-01      1.86e-01    1.9e-04
 486000      1.16e+01      1.21e-01      1.15e-01      4.73e-02    1.9e-04
 488000      5.00e+00      2.58e-01      4.62e-02      6.97e-02    1.9e-04
 490000      5.57e+00      7.46e-02      5.50e-02      4.32e-02    1.9e-04
 492000      3.67e+01      5.86e-01      2.03e-01      1.70e+00    1.9e-04
 494000      1.59e+01      6.01e-02      9.98e-02      7.02e-01    1.8e-04
 496000      1.26e+01      1.21e-01      1.19e-01      2.35e-01    1.8e-04
 498000      3.05e+01      1.05e-01      3.05e-01      3.93e-02    1.8e-04
