#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 210000      1.16e+01      5.77e-02      1.16e-01      6.62e-02    4.9e-04
 212000      5.37e+00      7.47e-02      4.63e-02      1.50e-01    4.8e-04
 214000      8.50e+00      3.06e-02      8.35e-02      8.86e-02    4.8e-04
 216000      1.01e+01      1.72e-01      9.81e-02      1.71e-01    4.8e-04
 218000      5.10e+00      4.68e-02      4.95e-02      9.78e-02    4.7e-04
 220000      9.94e+00      7.01e-02      9.91e-02      5.59e-02    4.7e-04
 222000      1.12e+01      1.22e-02      1.11e-01      1.20e-01    4.7e-04
 224000      1.08e+01      2.73e-02      1.07e-01      8.68e-02    4.6e-04
 226000      1.14e+01      9.63e-03      1.14e-01      2.44e-02    4.6e-04
 228000      8.09e+00      5.47e-02      8.07e-02      3.44e-02    4.6e-04
 230000      9.26e+00      1.69e-02      9.19e-02      6.38e-02    4.6e-04
 232000      1.07e+01      1.56e-01      9.72e-02      2.50e-01    4.5e-04
 234000      1.08e+01      1.16e-01      1.08e-01      8.87e-02    4.5e-04
 236000      4.75e+00      8.38e-02      4.51e-02      1.14e-01    4.5e-04
 238000      7.57e+00      1.89e-01      7.13e-02      1.91e-01    4.4e-04
 240000      1.53e+01      2.95e-03      1.43e-01      4.30e-01    4.4e-04
 242000      1.35e+01      3.61e-02      1.32e-01      2.32e-01    4.4e-04
 244000      5.31e+00      9.50e-03      4.61e-02      1.47e-01    4.3e-04
 246000      8.96e+00      4.74e-02      8.86e-02      1.06e-01    4.3e-04
 248000      2.19e+01      2.35e-01      2.02e-01      6.53e-01    4.3e-04
 250000      1.21e+01      6.20e-02      1.21e-01      7.50e-02    4.3e-04
 252000      8.92e+00      2.93e-03      8.16e-02      2.95e-01    4.2e-04
 254000      3.89e+00      4.29e-02      2.84e-02      2.09e-01    4.2e-04
 256000      6.70e+00      2.47e-02      6.54e-02      7.99e-02    4.2e-04
 258000      4.78e+00      7.87e-03      4.51e-02      8.87e-02    4.1e-04
 260000      5.28e+00      5.39e-02      5.25e-02      2.59e-02    4.1e-04
 262000      1.23e+01      1.37e-01      1.15e-01      3.29e-01    4.1e-04
 264000      4.97e+00      1.14e-01      3.97e-02      2.42e-01    4.1e-04
