#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 342000      7.70e+00      1.21e-01      7.19e-02      1.49e-01    3.1e-04
 344000      1.61e+01      7.32e-02      1.59e-01      1.31e-01    3.1e-04
 346000      1.18e+01      3.67e-02      1.17e-01      1.21e-01    3.1e-04
 348000      2.37e+01      5.77e-04      2.35e-01      1.60e-01    3.0e-04
 350000      1.50e+01      5.80e-02      1.48e-01      1.18e-01    3.0e-04
 352000      8.44e+00      1.08e-01      7.34e-02      2.30e-01    3.0e-04
 354000      1.24e+01      1.14e-01      1.23e-01      1.14e-01    3.0e-04
 356000      1.42e+01      3.49e-02      1.42e-01      6.53e-02    3.0e-04
 358000      1.17e+01      1.56e-02      1.16e-01      1.21e-01    2.9e-04
 360000      1.31e+01      1.86e-01      1.30e-01      1.07e-01    2.9e-04
 362000      7.15e+00      7.66e-02      6.56e-02      1.57e-01    2.9e-04
 364000      1.62e+01      7.81e-03      1.61e-01      1.22e-01    2.9e-04
 366000      9.21e+00      7.59e-02      8.87e-02      1.36e-01    2.9e-04
 368000      2.29e+01      7.64e-02      2.26e-01      1.87e-01    2.8e-04
 370000      1.47e+01      3.30e-02      1.45e-01      1.82e-01    2.8e-04
 372000      1.03e+01      9.14e-02      1.01e-01      2.27e-01    2.8e-04
 374000      1.39e+01      9.94e-03      1.34e-01      1.93e-01    2.8e-04
 376000      1.94e+01      4.23e-02      1.91e-01      1.89e-01    2.8e-04
 378000      1.35e+01      7.06e-02      1.33e-01      2.38e-01    2.7e-04
 380000      1.44e+01      1.40e-02      1.43e-01      7.89e-02    2.7e-04
 382000      1.79e+01      5.73e-02      1.78e-01      1.28e-01    2.7e-04
 384000      1.54e+01      2.20e-03      1.53e-01      1.10e-01    2.7e-04
 386000      1.98e+01      8.95e-02      1.94e-01      2.37e-01    2.7e-04
 388000      2.19e+01      1.15e-01      2.09e-01      3.58e-01    2.7e-04
 390000      1.50e+01      1.06e-01      1.48e-01      1.33e-01    2.6e-04
 392000      6.51e+00      7.49e-03      6.01e-02      1.39e-01    2.6e-04
 394000      2.65e+01      1.96e-01      2.42e-01      6.01e-01    2.6e-04
 396000      1.37e+01      2.58e-02      1.37e-01      5.96e-02    2.6e-04
 398000      8.94e+00      1.92e-02      8.75e-02      1.01e-01    2.6e-04
 400000      1.35e+01      4.58e-02      1.34e-01      9.02e-02    2.5e-04
 402000      6.93e+00      8.19e-05      6.60e-02      1.18e-01    2.5e-04
 404000      9.19e+00      4.60e-02      8.76e-02      2.18e-01    2.5e-04
 406000      1.49e+01      1.03e-01      1.48e-01      8.75e-02    2.5e-04
 408000      1.67e+01      1.68e-02      1.66e-01      1.71e-01    2.5e-04
 410000      7.38e+00      4.73e-03      6.98e-02      1.34e-01    2.5e-04
 412000      7.47e+00      3.46e-03      7.00e-02      1.46e-01    2.4e-04
 414000      4.83e+00      2.61e-02      4.81e-02      1.94e-02    2.4e-04
 416000      1.27e+01      2.79e-03      1.05e-01      4.03e-01    2.4e-04
 418000      1.15e+01      3.11e-02      1.15e-01      3.47e-02    2.4e-04
 420000      8.43e+00      1.41e-02      8.40e-02      5.08e-02    2.4e-04
 422000      8.94e+00      5.50e-02      8.59e-02      1.38e-01    2.4e-04
 424000      6.15e+00      3.57e-02      5.69e-02      1.31e-01    2.3e-04
 426000      1.15e+01      9.48e-03      1.14e-01      5.33e-02    2.3e-04
 428000      1.20e+01      2.22e-02      1.20e-01      3.75e-02    2.3e-04
 430000      1.28e+01      7.54e-02      1.27e-01      1.16e-01    2.3e-04
 432000      1.05e+01      1.98e-01      1.05e-01      4.46e-02    2.3e-04
 434000      1.05e+01      1.54e-02      1.04e-01      9.45e-02    2.3e-04
 436000      1.44e+01      2.57e-02      1.43e-01      7.96e-02    2.3e-04
 438000      7.77e+00      5.08e-02      7.75e-02      2.73e-02    2.2e-04
 440000      3.35e+00      9.45e-02      3.30e-02      1.03e-02    2.2e-04
 442000      5.29e+00      9.01e-04      5.23e-02      6.08e-02    2.2e-04
 444000      1.13e+01      3.36e-02      1.10e-01      1.46e-01    2.2e-04
 446000      1.06e+01      1.36e-01      1.04e-01      1.27e-01    2.2e-04
 448000      1.04e+01      2.33e-02      1.00e-01      1.58e-01    2.2e-04
 450000      1.24e+01      3.48e-03      1.23e-01      6.58e-02    2.1e-04
 452000      1.06e+01      1.36e-02      1.06e-01      5.99e-02    2.1e-04
 454000      9.65e+00      2.58e-02      9.05e-02      1.87e-01    2.1e-04
 456000      1.78e+01      6.69e-02      1.78e-01      1.18e-01    2.1e-04
 458000      1.69e+01      2.80e-02      1.68e-01      9.57e-02    2.1e-04
 460000      1.18e+01      1.62e-02      1.18e-01      4.02e-02    2.1e-04
 462000      2.55e+01      3.59e-01      2.47e-01      4.98e-01    2.1e-04
 464000      1.29e+01      3.06e-02      1.28e-01      5.25e-02    2.0e-04
 466000      9.52e+00      3.51e-02      9.14e-02      1.49e-01    2.0e-04
 468000      1.25e+01      5.28e-02      1.24e-01      9.13e-02    2.0e-04
 470000      1.20e+01      5.10e-02      1.19e-01      1.02e-01    2.0e-04
 472000      1.01e+01      5.92e-02      9.93e-02      1.36e-01    2.0e-04
 474000      1.26e+01      3.05e-02      1.26e-01      3.64e-02    2.0e-04
 476000      1.19e+01      3.60e-02      1.18e-01      9.07e-02    2.0e-04
 478000      9.15e+00      3.86e-02      9.11e-02      4.49e-02    2.0e-04
 480000      1.54e+01      4.09e-02      1.54e-01      4.28e-02    1.9e-04
 482000      7.88e+00      5.16e-03      7.73e-02      8.86e-02    1.9e-04
 484000      1.25e+01      2.22e-02      1.25e-01      1.06e-01    1.9e-04
 486000      8.63e+00      2.28e-02      8.31e-02      1.29e-01    1.9e-04
 488000      1.63e+01      4.08e-03      1.62e-01      1.35e-01    1.9e-04
 490000      6.22e+00      2.00e-01      5.75e-02      1.16e-01    1.9e-04
 492000      5.87e+00      8.91e-03      5.31e-02      1.40e-01    1.9e-04
 494000      1.37e+01      1.42e-02      1.36e-01      5.28e-02    1.8e-04
 496000      1.23e+01      1.02e-02      1.22e-01      3.74e-02    1.8e-04
 498000      2.68e+01      2.29e-01      2.57e-01      4.06e-01    1.8e-04
 500000      1.55e+01      1.14e-01      1.53e-01      1.38e-01    1.8e-04
 502000      8.28e+00      8.80e-02      8.23e-02      4.43e-02    1.8e-04
 504000      1.16e+01      1.31e-02      1.16e-01      3.40e-02    1.8e-04
 506000      1.29e+01      4.89e-02      1.29e-01      5.22e-02    1.8e-04
 508000      2.78e+01      4.13e-02      2.77e-01      1.27e-01    1.8e-04
 510000      1.39e+01      1.61e-04      1.39e-01      6.81e-02    1.7e-04
 512000      8.89e+00      3.83e-02      8.75e-02      8.65e-02    1.7e-04
 514000      6.45e+00      1.04e-01      6.39e-02      5.69e-02    1.7e-04
 516000      1.27e+01      4.15e-02      1.21e-01      2.06e-01    1.7e-04
 518000      1.16e+01      1.24e-01      1.14e-01      9.74e-02    1.7e-04
 520000      1.89e+01      1.21e-01      1.88e-01      9.70e-02    1.7e-04
 522000      1.38e+01      4.75e-02      1.35e-01      2.28e-01    1.7e-04
 524000      1.31e+01      1.59e-02      1.30e-01      9.01e-02    1.7e-04
 526000      1.15e+01      5.80e-03      1.13e-01      1.88e-01    1.7e-04
 528000      1.29e+01      4.19e-03      1.28e-01      9.84e-02    1.6e-04
 530000      7.22e+00      8.78e-02      4.67e-02      3.07e-01    1.6e-04
 532000      2.02e+01      1.77e-01      1.98e-01      2.98e-01    1.6e-04
 534000      1.38e+01      2.23e-02      1.38e-01      5.06e-02    1.6e-04
 536000      1.16e+01      2.86e-02      1.15e-01      1.11e-01    1.6e-04
 538000      1.65e+01      4.70e-02      1.62e-01      1.53e-01    1.6e-04
 540000      1.63e+01      2.63e-03      1.60e-01      1.64e-01    1.6e-04
 542000      7.98e+00      2.01e-02      7.98e-02      1.31e-02    1.6e-04
 544000      1.22e+01      2.43e-02      1.21e-01      9.34e-02    1.6e-04
 546000      1.33e+01      1.40e-03      1.32e-01      1.09e-01    1.5e-04
 548000      1.56e+01      5.89e-02      1.55e-01      1.09e-01    1.5e-04
 550000      1.67e+01      3.13e-02      1.66e-01      6.80e-02    1.5e-04
 552000      2.42e+01      9.15e-02      2.38e-01      3.47e-01    1.5e-04
 554000      6.46e+00      5.28e-02      6.00e-02      1.32e-01    1.5e-04
 556000      9.93e+00      3.44e-02      9.83e-02      1.07e-01    1.5e-04
 558000      6.22e+00      2.36e-02      6.17e-02      4.04e-02    1.5e-04
 560000      5.39e+00      1.61e-02      4.91e-02      1.24e-01    1.5e-04
 562000      2.35e+01      2.06e-01      2.20e-01      4.52e-01    1.5e-04
 564000      1.46e+01      1.22e-02      1.46e-01      5.54e-02    1.5e-04
 566000      1.28e+01      8.15e-02      1.27e-01      8.85e-02    1.4e-04
 568000      1.04e+01      1.95e-02      1.04e-01      5.30e-02    1.4e-04
