#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 272000      5.57e+01      1.03e-01      5.56e-01      3.13e-01    3.9e-04
 274000      7.54e+01      3.07e-01      7.53e-01      1.75e-01    3.9e-04
 276000      6.65e+01      1.20e-01      6.59e-01      4.93e-01    3.9e-04
 278000      4.94e+01      1.71e-01      4.93e-01      2.48e-01    3.9e-04
 280000      1.27e+02      1.11e-01      1.26e+00      1.05e+00    3.8e-04
 282000      5.79e+01      1.45e-01      5.77e-01      2.46e-01    3.8e-04
 284000      3.27e+01      5.39e-01      2.81e-01      9.17e-01    3.8e-04
 286000      6.55e+01      8.25e-02      6.52e-01      4.90e-01    3.8e-04
 288000      2.13e+02      1.02e-01      2.10e+00      2.09e+00    3.7e-04
 290000      5.40e+01      3.85e-01      5.33e-01      4.39e-01    3.7e-04
 292000      3.65e+01      6.84e-02      3.63e-01      2.03e-01    3.7e-04
 294000      8.98e+01      3.60e+00      8.71e-01      4.33e-01    3.7e-04
 296000      4.31e+01      1.12e-01      4.30e-01      8.30e-02    3.6e-04
 298000      8.52e+01      3.16e-02      8.45e-01      6.03e-01    3.6e-04
 300000      7.82e+01      5.42e-01      7.62e-01      9.81e-01    3.6e-04
 302000      1.24e+02      1.30e+00      9.48e-01      4.42e+00    3.6e-04
 304000      5.37e+01      2.46e-03      5.32e-01      3.90e-01    3.5e-04
 306000      5.01e+01      1.06e-01      4.65e-01      1.04e+00    3.5e-04
 308000      6.81e+01      1.63e-01      6.78e-01      3.29e-01    3.5e-04
 310000      4.25e+01      4.41e-03      4.22e-01      3.03e-01    3.5e-04
 312000      4.48e+01      8.01e-02      4.24e-01      1.14e+00    3.4e-04
 314000      5.44e+01      6.20e-01      5.36e-01      4.84e-01    3.4e-04
 316000      6.04e+01      3.07e-01      6.04e-01      2.03e-01    3.4e-04
 318000      6.87e+01      5.97e-01      6.55e-01      1.61e+00    3.4e-04
 320000      6.71e+01      2.47e-01      6.70e-01      2.03e-01    3.3e-04
 322000      6.47e+01      1.12e-01      6.00e-01      1.91e+00    3.3e-04
